61,Madoline Corporation,FIU,1600 Sawgrass Corporate Parkway,Sunrise,Florida,33323,Florida Power & Light
69,"Brown & Brown Insurance Services, Inc.",Tampa Bay,5192 Mariner Blvd.,Spring Hill,Florida,34609,Florida Power & Light
70,"Brown & Brown Insurance Services, Inc.",Tampa Bay,140 Fountain Parkway,St. Petersburg,Florida,33716,Florida Power & Light
71,"Brown & Brown Insurance Services, Inc.",Tampa Bay,655 North Franklin St.,Tampa,Florida,33602,Tampa Electric
105,"Proctor Financial, Inc.",Proctor,220 S. Ridgewood Ave.,Daytona Beach,Florida,32114,Florida Power & Light
113,"Hull & Company, LLC",Braishfield,5750 Major Blvd.,Orlando,Florida,32819,Duke Energy
114,"Risk Management Associates, Inc.",Public Entity - Daytona,300 North Beach Street,Daytona Beach,Florida,32114,Florida Power & Light
120,"Allocation Services, Inc.",IMPAXX,300 North Beach Street,Daytona Beach,Florida,32114,Florida Power & Light
136,"0-Brown & Brown, Inc. Independents Rollup",NP-SCALE Silo East,655 North Franklin St.,Tampa,Florida,33602,Tampa Electric
146,"Hull & Company, LLC",Hull Ft Lauderdale,2 Oakwood Blvd.,Hollywood,Florida,33020,Florida Power & Light
149,"Hull & Company, LLC",Hull Ft Lauderdale,970 Lake Carillon Drive,St. Petersburg,Florida,33716,Florida Power & Light
150,"Hull & Company, LLC",Hull-Tampa Bay,970 Lake Carillon Drive,St. Petersburg,Florida,33716,Florida Power & Light
151,"Hull & Company, LLC",Hull-Jacksonville Combined,4600 Touchton Road East,Jacksonville,Florida,32246,Florida Power & Light
153,"Hull & Company, LLC",Natl Risk Solutions,970 Lake Carillon Drive,St. Petersburg,Florida,33716,Florida Power & Light
170,"Peachtree Special Risk Brokers, LLC",PSR-St Pete Combined,6311 Atrium Drive,Bradenton,Florida,34202,Duke Energy
171,"Peachtree Special Risk Brokers, LLC",PSR-St Pete Combined,301 Yamato Road,Boca Raton,Florida,33431,Florida Power & Light
201,"Brown & Brown Dealer Services, Inc.",Columbia,17755 US Hwy 19 N.,Clearwater,Florida,33764,Florida Power & Light
205,"Brown & Brown Absence Services Group, LLC",Brown & Brown Absence Services Group,300 North Beach Street,Daytona Beach,Florida,32114,Florida Power & Light
236,"Brown & Brown RS Insurance Services, LLC",Risk Solutions,2 Alhambra Plaza,Coral Gables,Florida,33134,Florida Power & Light
238,Wright National Flood Insurance Company,Wright Flood Consolidated,93 Park Place Boulevard,Clearwater,Florida,33759,Florida Power & Light
240,"Wright National Flood Insurance Services, LLC",Wright Flood Consolidated,93 Park Place Boulevard,Clearwater,Florida,33759,Florida Power & Light
257,"B&B Protector Plans, Inc.",Protect Professionals Claims Management,655 North Franklin St.,Tampa,Florida,33602,Tampa Electric
267,"Hull & Company, LLC",Hull-Boca Raton,301 Yamato Road,Boca Raton,Florida,33431,Florida Power & Light
268,"Brown & Brown Insurance Services, Inc.",Brown & Brown Premier,1201 West Cypress Creek Rd.,Ft. Lauderdale,Florida,33309,Florida Power & Light
274,"Hull & Company, LLC",Bridge Specialty Underwriting,970 Lake Carillon Drive,St. Petersburg,Florida,33716,Florida Power & Light
284,"Brown & Brown Insurance Services, Inc.",CKP Insurance,21845 Powerline Road,Boca Raton,Florida,33433,Florida Power & Light
296,"Peachtree Special Risk Brokers, LLC","RLA Insurance Intermediaries, LLC",1301 N. Congress Avenue,Boynton Beach,Florida,33426,Florida Power & Light
344,"Brown & Brown Insurance Services, Inc.",Heacock Insurance Group,32313 Broadway Street,Sebring,Florida,33870,Florida Power & Light
345,"Brown & Brown Insurance Services, Inc.",Heacock Insurance Group,100 East Main Street,Lakeland,Florida,33801,Florida Power & Light
346,"Brown & Brown Insurance Services, Inc.",Heacock Insurance Group,28279 Highway 27,Dundee,Florida,33838,Florida Power & Light
348,"Orchid Underwriters Agency, LLC",Orchid,1201- 19th Place,Vero Beach,Florida,32960,Florida Power & Light
349,"Orchid Underwriters Agency, LLC",Orchid,4030 Boy Scout Blvd.,Tampa,Florida,33607,Tampa Electric
350,"Orchid Underwriters Agency, LLC",Orchid,777 Brickell Avenue,Miami,Florida,33131,Florida Power & Light
367,Tarpon Holdco LLC,"Orchid Underwriters Agency, LLC (Tarpon Facility)",1201- 19th Place,Vero Beach,Florida,32960,Florida Power & Light
446,"Brown & Brown Insurance Services, Inc.",Daytona,3731 South Nova Road,Port Orange,Florida,32129,Florida Power & Light
